playerID,year,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,team_wins,team_losses,conference_rank,playoff_made,confID
blueni01w,8,420,107,63,48,22,5,37,55,108,35,37,31,16,18,5,0,0
blueni01w,9,537,99,41,73,19,2,42,59,102,33,25,19,10,24,6,0,0
blueni01w,10,91,24,10,12,7,0,13,12,24,7,10,7,16,18,4,1,0
blueoc01w,4,37,4,2,2,0,0,2,3,4,1,4,2,20,14,2,1,1
blueoc01w,5,155,44,21,5,1,0,7,10,42,16,13,12,13,21,6,0,1
bobbish01w,9,552,106,64,90,25,1,63,40,127,35,22,16,20,14,3,1,1
bobbish01w,10,353,71,33,46,15,1,28,34,85,26,13,11,18,16,3,1,1
boddiwh01w,10,9,2,0,0,1,0,1,1,1,1,0,0,12,22,6,0,1
boltoru01w,1,868,380,106,57,34,1,45,60,368,133,84,64,21,11,3,1,1
boltoru01w,2,582,222,93,55,28,1,39,55,216,73,52,36,20,12,2,1,1
boltoru01w,3,737,349,94,37,45,2,35,74,316,125,77,56,14,18,6,0,1
boltoru01w,4,521,149,57,35,33,2,21,52,175,55,26,20,19,15,3,1,1
boltoru01w,5,469,160,49,31,23,0,15,45,154,57,19,14,18,16,4,1,1
bondla01w,7,614,193,49,73,35,8,80,83,158,63,77,57,11,23,6,0,0
bondla01w,9,325,74,31,27,15,4,33,56,90,26,16,13,17,17,4,1,0
bonfisu01w,3,306,105,37,23,12,0,18,35,89,43,25,19,11,21,7,0,1
bonnede01w,10,724,381,196,13,23,25,34,70,278,127,154,125,23,11,1,1,1
bowenli01w,8,37,9,2,1,0,0,4,0,10,3,0,0,16,18,4,1,0
boydca01w,2,230,75,26,14,11,2,16,32,67,23,20,18,10,22,7,0,0
braxtka01w,6,455,227,100,14,18,13,52,78,210,97,60,33,16,18,4,1,0
braxtka01w,7,359,146,117,26,11,11,53,83,143,58,48,30,23,11,2,1,0
braxtka01w,8,545,207,166,16,14,16,62,91,188,84,58,39,24,10,1,1,0
braxtka01w,9,590,295,168,27,14,24,54,84,258,107,109,81,22,12,1,1,0
