playerID,year,avg_rating,avg_conference_rank,team_wins,team_losses,minutes,playoffs_made,all_decade_team
udokamf01w,7,39.5,1.5,45,23,270,2,0
ujhelpe01w,7,1.0,1.0,25,9,68,1,0
umoh-it01w,7,0.0,2.0,20,14,6,1,0
valdeam01w,7,50.0,2.0,27,5,171,1,0
vangomi01w,7,79.2,5.6,68,96,1388,2,0
vealkr01w,7,105.5,6.0,24,40,1019,0,0
vodicka01w,7,284.6666666666667,5.333333333333333,87,111,4114,2,0
vodopna01w,7,34.0,2.0,20,14,98,1,0
walkeay01w,7,82.2,4.4,73,95,1300,3,0
walkede01w,7,226.0,4.5,99,99,3678,3,0
walsema01w,7,8.0,2.5,37,27,112,2,0
washico01w,7,126.0,3.4,102,60,2271,4,0
washito01w,7,36.0,5.4,68,96,952,2,0
wautean01w,7,283.8,3.0,85,79,3172,4,0
weathte01w,7,263.6,2.2,100,64,4122,4,1
webbum01w,7,25.0,6.0,13,19,195,0,0
weckeke01w,7,2.0,7.0,7,27,11,0,0
whaleli01w,7,402.5,1.0,44,24,1993,2,0
whitede01w,7,91.0,2.5,36,32,510,2,0
whiteta01w,7,135.0,2.0,21,13,693,1,0
whitiva01w,7,56.5,7.0,22,42,514,0,0
whitmta01w,7,263.8333333333333,2.5,117,81,4753,5,0
whittje01w,7,-4.0,8.0,10,22,20,0,0
wickssu01w,7,212.66666666666663,1.3333333333333333,59,37,1710,3,0
widemja01w,7,0.0,7.0,10,22,35,0,0
williad01w,7,167.0,5.833333333333333,78,120,2883,1,0
willian01w,7,36.0,5.0,16,18,149,0,0
willibe01w,7,0.0,7.0,9,23,3,0,0
willile01w,7,54.0,1.0,44,24,266,2,0
willile02w,7,10.0,8.0,9,23,177,0,0
willina01w,7,489.0,4.0,109,89,5925,3,0
williri01w,7,187.8,4.8,77,85,3006,2,0
willish01w,7,61.0,1.0,24,10,229,1,0
willita01w,7,68.0,7.0,10,22,174,0,0
willito01w,7,109.0,7.0,9,25,417,0,0
williwe01w,7,9.0,1.0,28,4,47,1,0
wilsoam01w,7,1.0,4.0,20,12,9,1,0
witheso01w,7,187.0,4.0,70,60,2516,2,0
wolteka01w,7,201.33333333333331,5.0,43,53,1249,1,0
