playerID,year,team,minutes,games_played,total_points,total_rebounds,total_assists,points_per_min,assists_per_min,rebounds_per_min,steals_per_min,blocks_per_min,turnovers_per_min,FG%,FT%,Three%,Three Rate,team_wins,team_losses,conference_rank,playoff_made,confID,MVP_winner
luzhe01w,4,WAS,165,20,59,10,21,0.3575757575757576,0.1272727272727272,0.0606060606060606,0.0363636363636363,0.0121212121212121,0.0666666666666666,0.3584905660377358,0.9,0.3,0.7547169811320755,9,25,7,0,0,0
lyttlsa01w,6,HOU,460,33,140,125,17,0.3043478260869565,0.0369565217391304,0.2717391304347826,0.0434782608695652,0.0065217391304347,0.05,0.5841584158415841,0.55,0.0,0.0,19,15,3,1,1,0
lyttlsa01w,7,HOU,380,29,106,114,8,0.2789473684210526,0.0210526315789473,0.3,0.0657894736842105,0.0105263157894736,0.0473684210526315,0.4597701149425287,0.6190476190476191,0.0,0.0,18,16,3,1,1,0
lyttlsa01w,8,HOU,506,31,183,164,30,0.3616600790513834,0.0592885375494071,0.3241106719367589,0.0731225296442687,0.0395256916996047,0.0790513833992094,0.4935897435897436,0.5686274509803921,0.0,0.0,13,21,5,0,1,0
lyttlsa01w,9,HOU,489,27,222,168,24,0.4539877300613497,0.0490797546012269,0.3435582822085889,0.081799591002045,0.0552147239263803,0.0613496932515337,0.5822784810126582,0.7450980392156863,0.0,0.0,17,17,5,0,1,0
lyttlsa01w,10,ATL,931,34,443,254,51,0.4758324382384533,0.0547798066595059,0.2728249194414608,0.0730397422126745,0.0236305048335123,0.0687432867883995,0.5068870523415978,0.7425742574257426,0.0,0.0027548209366391,18,16,2,1,0,0
mabikmw01w,1,LAS,940,32,394,179,98,0.4191489361702127,0.1042553191489361,0.1904255319148936,0.0617021276595744,0.0191489361702127,0.0542553191489361,0.3880597014925373,0.8202247191011236,0.3836477987421384,0.4746268656716418,28,4,1,1,1,0
mabikmw01w,2,LAS,828,28,313,130,87,0.3780193236714976,0.1050724637681159,0.1570048309178744,0.0471014492753623,0.0132850241545893,0.0531400966183574,0.38671875,0.8607594936708861,0.3821138211382114,0.48046875,28,4,1,1,1,0
mabikmw01w,3,LAS,1050,32,539,167,92,0.5133333333333333,0.0876190476190476,0.159047619047619,0.0361904761904761,0.0085714285714285,0.059047619047619,0.4234234234234234,0.8389830508474576,0.3657142857142857,0.3941441441441441,25,7,1,1,1,0
mabikmw01w,4,LAS,1042,32,441,141,82,0.4232245681381957,0.0786948176583493,0.1353166986564299,0.0287907869481765,0.0172744721689059,0.0710172744721689,0.4072164948453608,0.8660714285714286,0.2641509433962264,0.2731958762886597,24,10,1,1,1,0
